C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 12 ELECTRICAL PLAN.dwg,Model,7/7/2008 10:20:54 PM,Sean Stevens, Architectural Enterprises, Ltd,\\dennis-laptop\HP LaserJet 1200 Series PCL 5,Letter,0.25:12,
C:\WORKING FOLDER\219 BAYVIEW\SH01 SITE PLAN2.dwg,ArchD,2/3/2009 12:06:05 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr,Arch D ,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,Basement Column Bases,2/6/2009 10:24:46 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,Basement Column Bases,2/6/2009 10:25:29 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,Basement Column Bases,2/6/2009 10:26:58 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,Basement Column Bases (2),2/6/2009 12:04:57 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,Basement Column Bases,2/6/2009 12:10:00 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,GLB RIGHT,2/6/2009 2:28:35 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,GLB RIGHT,2/6/2009 2:38:19 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,GLB RIGHT,2/6/2009 2:39:04 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,GLB LEFT,2/6/2009 2:48:08 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,B2 WEST,2/7/2009 9:40:40 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,B2 WEST,2/7/2009 9:42:22 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,B2 WEST,2/7/2009 9:44:21 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BASEMENT FRAMING.dwg,Basement Framing,3/13/2009 2:56:44 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 02 FOUNDATION PLAN.dwg,Foundation Plan,3/20/2009 8:53:20 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 02 FOUNDATION PLAN.dwg,Foundation Plan,3/20/2009 9:04:01 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 04 FLOOR PLAN.dwg,Main Floor Plan,3/20/2009 9:09:03 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 03 FLOOR FRAMING PLAN.dwg,Floor Framing Plan,3/24/2009 7:49:57 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 05 SECTIONS PLAN.dwg,Sections,3/24/2009 7:58:02 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 08 NORTH ELEV PLAN.dwg,North Elev,3/24/2009 8:27:23 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 09 SOUTH ELEV PLAN.dwg,South Elevation,3/24/2009 8:28:07 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 10 EASTWEST ELEV PLAN.dwg,EastWest Elevation,3/24/2009 8:28:46 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 01 SITE PLAN.dwg,Model,3/24/2009 8:49:11 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr,ANSI D,1:240,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON ROOF FRAMING.dwg,Octagon,4/3/2009 2:12:25 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON WALL FRAMING.dwg,Library Fireplace,4/13/2009 10:12:54 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr,Arch D ,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON ROOF FRAMING.dwg,Large Tension Beam MOD,4/19/2009 11:04:05 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr,Arch D ,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON CHIMNEY.dwg,Chimney Height,5/1/2009 8:32:10 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Officejet 6300 series,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON ROOF FRAMING.dwg,Main Fireplace,5/1/2009 8:54:49 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Officejet 6300 series,Letter,1:1,
C:\WORKING FOLDER\233 SEVEN PINES\SH 11 NORTH  SOUTH  ELEV.dwg,Model,1/6/2011 3:32:28 PM,Sean Stevens, Architectural Enterprises, LTD,Epson Stylus Photo 1280 (M),Tabloid,1:90.2627,
C:\WORKING FOLDER\233 SEVEN PINES\SH 11 NORTH  SOUTH  ELEV.dwg,Model,1/6/2011 3:36:56 PM,Sean Stevens, Architectural Enterprises, LTD,Epson Stylus Photo 1280 (M),Tabloid,1:88.1435,
C:\WORKING FOLDER\233 SEVEN PINES\SH 11 NORTH  SOUTH  ELEV.dwg,Model,1/6/2011 3:39:16 PM,Sean Stevens, Architectural Enterprises, LTD,Epson Stylus Photo 1280 (M) (temporary).pc3,Tabloid,1:52.7295,
C:\WORKING FOLDER\233 SEVEN PINES\SH 11 NORTH  SOUTH  ELEV.dwg,Model,1/6/2011 3:41:20 PM,Sean Stevens, Architectural Enterprises, LTD,Epson Stylus Photo 1280 (M),Tabloid,1:52.0208,
C:\WORKING FOLDER\233 SEVEN PINES\SH 11 NORTH  SOUTH  ELEV.dwg,Model,1/6/2011 4:34:25 PM,Sean Stevens, Architectural Enterprises, LTD,HP Designjet 110plus nr (temporary).pc3,Arch D ,1:42.1393,
C:\WORKING FOLDER\233 SEVEN PINES\SH 11 NORTH  SOUTH  ELEV.dwg,Model,1/6/2011 4:47:18 PM,Sean Stevens, Architectural Enterprises, LTD,HP Designjet 110plus nr (temporary).pc3,Arch D ,1:23.8744,
C:\WORKING FOLDER\233 SEVEN PINES\SH 03 FLOOR FRAMING PLAN.dwg,ArchD,4/16/2011 7:39:36 PM,Sean Stevens, Architectural Enterprises, LTD,HP Designjet 110plus nr,Arch D ,1:1,
C:\WORKING FOLDER\233 SEVEN PINES\SH 06 SECTIONS.dwg,ArchD,4/16/2011 7:44:53 PM,Sean Stevens, Architectural Enterprises, LTD,HP Designjet 110plus nr,Arch D ,12:12,
C:\WORKING FOLDER\214 ROBIE SPEC\214 ROBIE SPRINGS 16 FNL MAIN ELEC PLAN.dwg,Model,7/29/2011 11:25:10 AM,Sean Stevens, Architectural Enterprises, LTD,Epson Stylus Photo 1280 (M),Letter,1:27.5516,
C:\WORKING FOLDER\214 ROBIE SPEC\214 ROBIE SPRINGS 16 FNL MAIN ELEC PLAN.dwg,Model,7/29/2011 11:26:15 AM,Sean Stevens, Architectural Enterprises, LTD,Epson Stylus Photo 1280 (M),Letter,1:26.5916,
C:\WORKING FOLDER\223 MINTO\SH 3  LOWER  FLOOR  CEILING  PLAN.working dwg LLOYD mod.dwg,Model,7/11/2013 3:29:40 PM,Sean Stevens, Architectural Enterprises, LTD,EPSON WF-7520 Series,Letter (8 1/2 x 11 in),0.5:12,
C:\WORKING FOLDER\223 MINTO\SH 3  LOWER  FLOOR  CEILING  PLAN.working dwg LLOYD mod.dwg,Model,7/11/2013 6:53:36 PM,Sean Stevens, Architectural Enterprises, LTD,EPSON WF-7520 Series,Letter (8 1/2 x 11 in),0.5:12,
C:\WORKING FOLDER\223 MINTO\SH 2   MAIN  FLOOR  FRAMING PLAN wolrking.dwg LLOYD.dwg,Model,7/11/2013 6:56:28 PM,Sean Stevens, Architectural Enterprises, LTD,EPSON WF-7520 Series,Letter (8 1/2 x 11 in),1:49.1626,
C:\WORKING FOLDER\223 MINTO\SH 3  LOWER  FLOOR  CEILING  PLAN.working dwg LLOYD mod.dwg,Model,7/12/2013 7:55:04 AM,Sean Stevens, Architectural Enterprises, LTD,EPSON WF-7520 Series,Letter (8 1/2 x 11 in),0.75:12,
C:\WORKING FOLDER\224 HILL HOUSE\224 SH 05 SECTIONS.dwg,Model,1/30/2014 9:30:24 AM,Sean Stevens, Architectural Enterprises, LTD,HP Designjet 110plus nr,ANSI D,0.5:12,
C:\WORKING FOLDER\224 HILL HOUSE\224 SH 03 FLOOR FRAMING.dwg,Model,1/30/2014 2:55:54 PM,Sean Stevens, Architectural Enterprises, LTD,EPSON WF-7520 Series,US B (11 x 17 in),0.125:12,
L:\WORKING FOLDER\224 HILL HOUSE\BID SET\224 BID SH 02 FOUNDATION PLAN.dwg,PDF 11x17,7/22/2014 12:19:22 PM,archentltd,EPSON WF-7520 Series,US B (11 x 17 in),1:1,
